TanPhi,LogVrot,LogBH
0.167613546,2.297798439,7.622992384
0.418949035,1.793484312,4.223023249
0.421294,1.993710815,5.002813372
0.322453537,1.996821637,5.566849392
0.292088944,1.955019793,5.570809814
0.282534188,2.157308407,6.425188753
0.297501109,2.127092711,6.221993399
0.229300612,1.837246336,5.4549153
0.170739134,1.793772281,5.609646065
0.338483271,1.925028413,5.193078141
0.516700028,2.18050921,5.209971948
0.235923788,2.157641723,6.686683179
0.454936062,2.005794678,4.862877838
0.189986129,2.384196484,7.840239615
0.324763407,2.185532542,6.301234649
0.23424224,2.036695732,6.217133838
0.286966392,1.977867406,5.689877934
0.224338436,2.159334807,6.758055903
0.294378591,2.255368851,6.747385298
0.343406409,2.083054769,5.791368264
0.191226923,2.318511009,7.573204879
0.651409421,1.688405013,2.509348105
0.201261241,2.180518181,6.970754777
0.101274774,2.453019033,8.607948686
0.430692868,2.353180597,6.373818814
0.473748834,1.916341487,4.403640023
0.546719779,2.119252814,4.799834761
0.396440906,2.037678939,5.315650755
0.30607233,2.048303159,5.862149962
0.619026372,2.118078464,4.391576371
0.210069629,2.243622431,7.171474572
0.204415795,1.90632472,5.867364197
0.297858307,2.272216817,6.794678352
0.447080764,1.514214909,2.960112325
0.311880843,2.082488472,5.965098288
0.296503984,2.035570852,5.865140674
0.298190867,2.305805213,6.925829153
0.290010236,1.812818784,5.019309364
0.189506964,2.158180283,6.947909832
0.361310105,1.503572116,3.396730909
0.392824176,2.233167288,6.109955779
0.482372861,2.004124461,4.703114496
0.603781439,2.113577404,4.458848236
0.316433192,1.554167638,3.847583137
0.433273365,2.302143528,6.157312402
0.285672832,2.103640179,6.195147661
0.174855283,2.012757262,6.453831555
0.274422786,1.563092892,4.117424188
0.49259876,1.666579432,3.309385705
0.176881308,2.06117284,6.634243953
0.544577117,1.954043218,4.157579298
0.284033074,2.271076378,6.867333361
0.295581414,1.543376503,3.921243693
0.615129524,2.045956153,4.127730123
0.417652981,2.379969233,6.552686801
0.186536204,1.849779556,5.743252345
0.294849002,2.006589976,5.759616875
0.460164313,1.988413569,4.764866597
0.382224881,2.375961232,6.734571526
0.204321247,2.113277692,6.687407665
0.242546302,2.176451638,6.7242026
0.193543631,2.358904392,7.720227522
0.276001783,2.135185839,6.374048536
0.355619926,2.158988528,6.023884711
0.109109823,2.051559996,6.974471483
0.34857348,1.884516438,4.976331732
0.25386918,2.103480775,6.372041193
0.687468566,1.829723224,2.8676774
0.366967585,2.43973003,7.07225508
0.302696878,2.07183953,5.974193368
0.451441674,2.088937881,5.211622986
0.358297992,1.737506332,4.339903301
0.224056145,2.165715502,6.784898618
0.474022405,2.036310226,4.877178715
0.441208924,1.897435579,4.510408753
0.314389497,2.032356222,5.752575901
0.268171811,2.014858526,5.941268985
0.20389219,2.01368299,6.295416288
0.161730031,2.014047514,6.532204665
0.193592521,2.321902313,7.573429619
0.212193576,1.995432413,6.176808101
0.276322996,1.713436257,4.702164015
0.286707609,1.956349837,5.606114739
0.444900391,2.304189608,6.10051382
0.378782285,2.097591212,5.651466759
