ETG,T-type,Arm Class,Bar,Disk,Ring,Core,Multiple,Compactness,AGN,Pseudobulge,BCG,cD,M_BH,M_BH_std,M*_sph,M*_disk,M*_gal,log_B/T,log_D/T,m_#_of_arms,phi,log_sigma0,log_v_max,M_DM,log_R_e_sph_maj,log_R_e_sph_eq_kpc,log_n_sph_maj,log_n_sph_eq,"log(I_e,sph,maj/M_Sun/pc^2)","log(I_e,sph,eq/M_Sun/pc^2)",Concentration_Index,avg_Rho_1kpc_Exact_All,r1_density_approx,log10(R10_kpc),logRho_R10_approx,log_rho10_Exact,log10(R90_kpc),logRho_R90_approx,log_rho_90_Exact_all,Rho_re_spatial,SR_pc_All,Rho_SR_pc_All,CR_def1_approx_new,Rho_cr_def1_approx_new,CR_def2_approx_new,Rho_CR_def2_approx_new,Sr(pc)_2_using_Falserm_drho,Log_Approx_Avg_density_10pc,log_Rho_e_Exact_new,logRho_e_approx_New,logRho_soi_approx_new,log_Rho_soi_exact_new,Rb_maj,Rb_maj_kpc,Rb_eq_kpc,Avg_Rho_Re_Exact_all,Avg_Rho_soi_exact_all,Avg_Rho_re_Exact_all,Rho_re_Exact_all,r_soi_2BH_approx,Rho_r_soi_2BH_approx,Log_Avg_Rho_10kpc_approx,Log_Avg_Rho_10kpc_exact_final,Log_Avg_Rho_100pc_approx,Log_Avg_Rho_5kpc_approx,Log_Avg_rho_5kpc_exact_all,brief,ube,bve,mg2,dc,ubtc,bvtc,bri25,m21c,hic,mabs,logblum
1,-3.2,,0,0.0,0,1.0,0,0,0.0,0,1,0,9.59,0.06,11.7,,11.7,0.0,,,,2.49,,,1.25,1.03,0.61,0.54,2.798905662,2.280328046,0.388,3.54789,1319.3,0.218956918,-0.185491717,-0.188222158,1.725414239,-4.304291971,-4.305197593,0.003888778,82.924,66.26871324,87.43,67.37362832,1970.57,0.463227177,36.76,3.129055842,-2.058313115,-2.060663313,1.417885318,1.392788635,0.01093948,0.008024109,0.007335,0.0364093,43.3455,0.019965,0.0042284,611.2,3.89425,-1.360877235,-1.36128417,1.98707116,-0.713747926,-0.716178834,22.125,,1.18,,72.53562685,,0.922,24.216,,,-22.009,10.9796
1,-4.8,,0,0.0,0,1.0,0,0,1.0,0,1,0,9.38,0.2,11.69,,11.69,0.0,,,,2.471453074,1.544068044,,0.93,0.89,0.82,0.85,2.321886532,2.281886532,0.603,9.38968,1481.2,-0.222141478,0.928344681,0.926757133,1.888004533,-5.121365163,-5.121365163,0.005279857,195.205,95.17802762,196.06,95.3087906,124.63,239.1764496,6.84,4.70578461,-1.914067924,-1.915275371,2.42615624,2.419688304,,,,0.0756651,693.822,0.0407398,0.00600379,113.6,287.554,-1.390947997,-1.391062331,2.985205902,-0.637989021,-0.638676435,,0.565,0.99,0.327,37.51941418,0.502,0.947,23.11,16.205,5.36,-21.403,10.7372
1,8,,0,,0,,0,0,,0,0,0,7.15,0.13,,,,,,,,,2.239349539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21319646,,,22.429,16.927,2.888,-20.7,10.456
1,-4.9,,0,0.0,0,0.0,0,0,1.0,0,1,0,9.1,0.09,11.72,10.39,11.74,-0.02,-1.35,,,2.515012345,,,0.98,0.96,0.59,0.58,2.30882553,2.31282553,0.453,3.79913,1257.8,0.054804474,0.092057067,0.089528595,1.631243806,-4.257069777,-4.257888212,0.00564035,100.462,70.92622389,103.75,71.52948296,1149.29,1.204610656,28.3,3.384785423,-1.89472199,-1.896900578,2.371549795,2.335721342,,,,0.056091,367.612,0.0305944,0.00616338,229.6,21.2869,-1.476680236,-1.476624272,2.142677232,-0.788657827,-0.789930408,,0.59,1.01,0.33,65.99396542,0.514,0.912,23.71,,,-22.353,11.1172
1,-5,,0,1.0,0,0.0,0,0,1.0,0,0,0,9.69,0.16,,,,,,,,2.510679031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.759,,,,31.33375123,,,23.663,,,-20.352,10.3168
1,-1.9,,1,1.0,0,0.0,0,0,0.0,0,0,0,8.34,0.13,10.43,10.49,10.7632,-0.33,-0.27,,,2.428669231,,,-0.12,-0.08,0.52,0.58,3.420591375,3.172591375,0.493,2.5556,799.2,-0.91926034,1.912539701,1.909978223,0.645547587,-2.398411254,-2.39924549,0.390165271,133.46,66.04539035,133.46,66.58822603,125.48,75.34799508,8.3,3.98387245,-0.055263079,-0.05746937,3.552668,3.53070457,,,,3.84286,6642.66,2.08879,0.424079,46.8,470.024,-2.274486926,-2.274486926,2.450695494,-1.40999458,-1.40999458,19.853,0.46,0.97,,24.72114039,0.43,0.853,23.482,,,-20.264,10.2816
1,-2.8,,0,1.0,0,0.0,0,0,0.0,0,0,0,5.74,0.1,8.03,9.16,9.19,-1.16,-0.03,,,1.538950562,2.278319089,,-1.23,-1.24,-0.03,-0.05,3.385070673,3.381070673,0.204,0.0571461,144.5,-1.722698658,1.947373926,1.941712205,-0.894567623,0.255602837,0.253679913,9.919812687,48.482,28.87149442,48.41,27.83424051,56.29,21.00104774,1.67,2.231339128,1.306616483,1.302531424,2.866880025,2.550809121,,,,38.0291,371.036,24.394,10.4056,5.2,203.879,-4.662760437,-4.662760437,1.166965621,-3.75967045,-3.75967045,20.43,0.305,0.88,0.033,3.253965663,0.212,0.883,22.611,13.321,2.38,-16.428,8.7472
1,-1.2,,0,1.0,0,1.0,0,0,0.0,0,1,0,9.0,0.1,10.88,11.21,11.38,-0.5,-0.17,,,2.37417991,,,0.06,0.04,0.36,0.33,3.353156735,3.391439539,0.335,3.59723,1032.0,-0.695569523,1.480983407,1.477134376,0.512405412,-1.633435032,-1.63485731,0.596420364,108.64,75.12823841,108.64,77.37320603,413.78,8.259046075,12.92,3.229658844,0.115407546,0.112123298,2.197049848,2.175640471,0.18,0.02376,0.020196,4.11595,236.975,2.34793,0.637808,176.6,37.4481,-2.060846807,-2.060750383,2.173719336,-1.182606531,-1.182098959,21.524,0.64,1.07,0.299,28.9551075,0.526,0.946,22.781,,,-21.554,10.7976
1,-4.7,,0,1.0,0,1.0,0,0,0.0,0,0,0,8.11,0.18,,,,,,,,2.295699017,1.859378504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.96,0.259,23.42635759,0.457,0.901,23.042,16.804,5.706,-20.448,10.3552
1,-4.8,,0,0.0,0,0.0,0,0,0.0,0,0,0,7.59,0.17,10.84,10.01,10.9,-0.06,-0.89,,,2.296072566,,,0.61,0.54,0.72,0.72,2.356735133,2.584735133,0.616,3.18378,873.6,-0.718685246,1.579444323,1.577681768,1.254945072,-4.041413239,-4.041413239,0.039106587,145.843,68.12555515,146.21,68.15562451,63.31,386.5986316,4.87,4.405436558,-1.046113807,-1.047576148,4.674411647,4.653101086,,,,0.516697,91019.3,0.277905,0.043951,8.0,16994.8,-2.048107095,-2.045274245,2.632553454,-1.235377842,-1.23499867,22.107,0.52,1.02,0.29,19.34079088,,0.865,22.572,,,-20.59,10.412
